,Group,Event Type,Count,Total_in_Group,Percentage,Figure
0,Exclusion - Affected,Alternative 3′ End,46,962,4.781704781704781,3C
1,Exclusion - Affected,Alternative 5′ End,59,962,6.133056133056133,3C
2,Exclusion - Affected,Alternative Exon,334,962,34.71933471933472,3C
3,Exclusion - Affected,Alternative First Exon,364,962,37.83783783783784,3C
4,Exclusion - Affected,Alternative Last Exon,150,962,15.592515592515593,3C
5,Exclusion - Affected,Intron Retention,9,962,0.9355509355509356,3C
6,Exclusion - Not Affected,Alternative 3′ End,44,1608,2.736318407960199,3C
7,Exclusion - Not Affected,Alternative 5′ End,48,1608,2.985074626865672,3C
8,Exclusion - Not Affected,Alternative Exon,514,1608,31.965174129353233,3C
9,Exclusion - Not Affected,Alternative First Exon,761,1608,47.32587064676617,3C
10,Exclusion - Not Affected,Alternative Last Exon,209,1608,12.997512437810945,3C
11,Exclusion - Not Affected,Intron Retention,32,1608,1.9900497512437811,3C
12,Inclusion - Affected,Alternative 3′ End,637,3603,17.679711351651402,3C
13,Inclusion - Affected,Alternative 5′ End,106,3603,2.941992783791285,3C
14,Inclusion - Affected,Alternative Exon,118,3603,3.2750485706355814,3C
15,Inclusion - Affected,Alternative First Exon,1128,3603,31.307243963363863,3C
16,Inclusion - Affected,Alternative Last Exon,1342,3603,37.24673882875381,3C
17,Inclusion - Affected,Intron Retention,272,3603,7.5492645018040525,3C
18,Inclusion - Not Affected,Alternative 3′ End,993,6012,16.51696606786427,3C
19,Inclusion - Not Affected,Alternative 5′ End,157,6012,2.6114437791084497,3C
20,Inclusion - Not Affected,Alternative Exon,164,6012,2.7278775781769795,3C
21,Inclusion - Not Affected,Alternative First Exon,1948,6012,32.401862940785094,3C
22,Inclusion - Not Affected,Alternative Last Exon,2500,6012,41.583499667332,3C
23,Inclusion - Not Affected,Intron Retention,250,6012,4.1583499667332005,3C
0,Exclusion - Affected,Alternative 3′ End,171,3891,4.394757131842714,3D
1,Exclusion - Affected,Alternative 5′ End,173,3891,4.446157800051401,3D
2,Exclusion - Affected,Alternative Exon,1297,3891,33.333333333333336,3D
3,Exclusion - Affected,Alternative First Exon,1595,3891,40.99203289642765,3D
4,Exclusion - Affected,Alternative Last Exon,549,3891,14.109483423284503,3D
5,Exclusion - Affected,Intron Retention,106,3891,2.7242354150603956,3D
6,Exclusion - Not Affected,Alternative 3′ End,128,4619,2.771162589305044,3D
7,Exclusion - Not Affected,Alternative 5′ End,123,4619,2.662914050660316,3D
8,Exclusion - Not Affected,Alternative Exon,1141,4619,24.702316518727,3D
9,Exclusion - Not Affected,Alternative First Exon,2571,4619,55.66139857111929,3D
10,Exclusion - Not Affected,Alternative Last Exon,573,4619,12.405282528685863,3D
11,Exclusion - Not Affected,Intron Retention,83,4619,1.7969257415024897,3D
12,Inclusion - Affected,Alternative 3′ End,3172,13937,22.75956088110784,3D
13,Inclusion - Affected,Alternative 5′ End,502,13937,3.6019229389395133,3D
14,Inclusion - Affected,Alternative Exon,663,13937,4.757121331706967,3D
15,Inclusion - Affected,Alternative First Exon,3916,13937,28.097868981846883,3D
16,Inclusion - Affected,Alternative Last Exon,4962,13937,35.60307096218698,3D
17,Inclusion - Affected,Intron Retention,722,13937,5.18045490421181,3D
18,Inclusion - Not Affected,Alternative 3′ End,3025,19034,15.892613218451192,3D
19,Inclusion - Not Affected,Alternative 5′ End,498,19034,2.6163707050541136,3D
20,Inclusion - Not Affected,Alternative Exon,567,19034,2.9788798991278767,3D
21,Inclusion - Not Affected,Alternative First Exon,6191,19034,32.52600609435746,3D
22,Inclusion - Not Affected,Alternative Last Exon,8189,19034,43.02301145318903,3D
23,Inclusion - Not Affected,Intron Retention,564,19034,2.9631186298203214,3D
